REGION,ZONE,Target,Month,Type,Business Type
GIT,LOSH,5.766994025,Feb,FILE TYPE,BOTH
GIT,LOSH,44.91480051,Mar,FILE TYPE,BOTH
GIT,LOSH,12.42356585,Apr,FILE TYPE,BOTH
GIT,LOSH,22.27194891,May,FILE TYPE,BOTH
GIT,LOSH,13.0728157,Jun,FILE TYPE,BOTH
GIT,LOSH,9.665119169,Jul,FILE TYPE,BOTH
GIT,LOSH,8.564739744,Aug,FILE TYPE,BOTH
GIT,LOSH,13.39191703,Sep,FILE TYPE,BOTH
GIT,LOSH,17.02690648,Oct,FILE TYPE,BOTH
GIT,LOSH,14.56587735,Nov,FILE TYPE,BOTH
GIT,LOSH,11.38691153,Dec,FILE TYPE,BOTH
AIR,LOLH,8.943413654,Jan,FILE TYPE,BOTH
AIR,LOLH,11.02009418,Feb,FILE TYPE,BOTH
AIR,LOLH,11.77379292,Mar,FILE TYPE,BOTH
AIR,LOLH,12.62531577,Apr,FILE TYPE,BOTH
AIR,LOLH,10.43485259,May,FILE TYPE,BOTH
AIR,LOLH,9.847076891,Jun,FILE TYPE,BOTH
AIR,LOLH,12.92518715,Jul,FILE TYPE,BOTH
AIR,LOLH,9.644663121,Aug,FILE TYPE,BOTH
AIR,LOLH,11.48949521,Sep,FILE TYPE,BOTH
AIR,LOLH,8.603110311,Oct,FILE TYPE,BOTH
AIR,LOLH,8.154679574,Nov,FILE TYPE,BOTH
AIR,LOLH,8.773695589,Dec,FILE TYPE,BOTH
FIT,LOLH,2.558000908,Jan,FILE TYPE,BOTH
FIT,LOLH,2.315246827,Feb,FILE TYPE,BOTH
FIT,LOLH,3.768564114,Mar,FILE TYPE,BOTH
FIT,LOLH,7.989100631,Apr,FILE TYPE,BOTH
FIT,LOLH,16.06337726,May,FILE TYPE,BOTH
FIT,LOLH,9.705559011,Jun,FILE TYPE,BOTH
FIT,LOLH,8.191218001,Jul,FILE TYPE,BOTH
FIT,LOLH,9.109355274,Aug,FILE TYPE,BOTH
FIT,LOLH,8.966853799,Sep,FILE TYPE,BOTH
FIT,LOLH,8.237626773,Oct,FILE TYPE,BOTH
FIT,LOLH,9.717088858,Nov,FILE TYPE,BOTH
FIT,LOLH,9.844512464,Dec,FILE TYPE,BOTH
GIT,LOLH,4.124004468,Jan,FILE TYPE,BOTH
GIT,LOLH,8.564753173,Feb,FILE TYPE,BOTH
GIT,LOLH,10.10143589,Mar,FILE TYPE,BOTH
GIT,LOLH,50.83089937,Apr,FILE TYPE,BOTH
GIT,LOLH,137.1666227,May,FILE TYPE,BOTH
GIT,LOLH,101.804441,Jun,FILE TYPE,BOTH
GIT,LOLH,59.808782,Jul,FILE TYPE,BOTH
GIT,LOLH,41.12064473,Aug,FILE TYPE,BOTH
GIT,LOLH,68.4731462,Sep,FILE TYPE,BOTH
GIT,LOLH,27.35237323,Oct,FILE TYPE,BOTH
GIT,LOLH,15.53869772,Nov,FILE TYPE,BOTH
GIT,LOLH,15.27627545,Dec,FILE TYPE,BOTH
